id,nombre,id_ciudad,direccion,telefono,estado,id_consultor_mac,id_almacenista_mac,id_secretaria_mac,id_jefe_mac,id_user_mac,id_torre_mac,codigo_distribuidor,codigo_instalador,numero_contrato_inicial,numero_contrato_final,meta_prepago,meta_postpago,tipo_sede,id_sede_padre,sub_canal
361,CONFIANZA Y COLABORACION CARTAGENA,150,PLAN 250 MZ 37 LT 4 SOCORRO,3174152894,Inactiva,0,0,0,0,1345,0,cyc004,,,,0,0,Principal,0,Otros
362,SERVIMERCADEO CARTAGENA,150,DIREC PLAN 250 MZ 37 LT 4 SOCORRO,3174152894,Inactiva,0,0,0,0,1345,0,Servicart1,,,,0,0,Principal,0,Otros
363,SYM ARMENIA,817,DIRECC CRA 19 # 1 NORTE NISA BULEVAR LOCAL 2,,Inactiva,0,0,0,0,1345,0,symarm1,,,,0,0,Principal,0,Otros
364,TIGO EXPRESS PEREIRA EXITO CUBA,829,EXITO CUBA,000000000,Inactiva,0,0,0,0,903,0,tigo001,tigo001,,,0,0,Principal,328,Otros
365,TIGO EXPRESS PEREIRA CALLE 19 CON 8,829,CALLE 19 CON 8,00000000,Activa,0,0,0,0,903,0,tigo002,tigo002,,,0,0,Principal,328,Otros
366,TIGO EXPRESS ARMENIA CR 14 FUNDADORES,817,CR 14 FUNDADORES,00000000,Inactiva,0,0,0,0,903,0,tigo003,tigo003,,,0,0,Principal,363,Otros
367,TIGO EXPRESS CALI  CR 4 14,1003,CR 4 14,00000000,Activa,0,0,0,0,903,0,tigo004,tigo004,,,0,0,Principal,321,Otros
368,TIGO EXPRESS JAMUNDI,1024,CR 10,0000000,Inactiva,0,0,0,0,903,0,tigo005,tigo005,,,0,0,Principal,321,Otros
369,TIGO EXPRESS MEDELLIN  01 LAS AMERICAS,1,CL 44 LAS AMERICAS,00000000,Activa,0,0,0,0,903,0,tigo006,tigo006,,,0,0,Principal,325,Otros
370,TIGO EXPRESS MEDELLIN  02 BELEN,1,CR 76 BELEN,0000000,Activa,0,0,0,0,903,0,tigo007,tigo007,,,0,0,Principal,325,Otros
371,TIGO EXPRESS ITAGUI 01CENTRO PQ,59, CL 51 49 59 CENTRO PQ,000000000,Activa,0,0,0,0,903,0,tigo008,tigo008,,,0,0,Principal,325,Otros
372,TIGO EXPRESS ITAGUI 02 CENTRO DE LA MODA,59,CR 52 D CENTRO DE LA MODA,0000000,Activa,0,0,0,0,903,0,tigo009,tigo009,,,0,0,Principal,325,Otros
373,TIGO EXPRESS CALI CENTRO 2,1003,CR 9 # 11 -27,0000000,Inactiva,0,0,0,0,903,0,tigo010,tigo010,,,0,0,Principal,321,Otros
374,TIGO EXPRESS DOSQUEBRADAS,833,CRA 16 # 36 - 19,000000,Inactiva,0,0,0,0,903,0,tigo011,tigo 011,,,0,0,Principal,328,Otros
375,TIGO EXPRESS CALDAS ANTIOQUIA,27,CALLE 129 SUR NO 50-27,0000000,Activa,0,0,0,0,903,0,tigo012,tigo012,,,0,0,Principal,325,Otros
376,PEREIRA TIGO - STOCK,829,CRA 12 # 3 - 49 LA REBECA,,Inactiva,0,0,0,0,1345,0,tigo013,,,,0,0,Principal,328,0
377,39579 - CORPORATIVOS SERVIMERCADEO MEDELLÍN,1,MEDELLIN,3401222,Inactiva,0,0,0,0,35,0,39579,I004213,,,0,0,Secundaria,14,Otros
378,SYM MAGANGUE,166,CLL 15 CRA 29 144 BRR SANTA RITA,3002045389,Inactiva,0,0,0,0,1345,0,symmagan,symmagan,,,0,0,Principal,318,Otros
